mode,physical_run_id,scenario,metric,complete_trials,predicted_trials,observed_mean,predicted_mean,mape_percent,wape_percent,ratio_error_ci95_low,ratio_error_ci95_high
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,prefix-cold-control,ttft_ms,73,73,354.7408910136986,11.599419000000001,96.72963422514495,96.73017143108204,-96.7408084816461,-96.72130354015856
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,prefix-cold-control,average_tpot_ms,73,73,159.40252762009132,0.5403569999999999,99.66059655777667,99.66101102155176,-99.66439035256843,-99.65911564891974
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,prefix-cold-control,exact_itl_ms,73,73,159.40252762009132,0.5403569999999999,99.66059655777667,99.66101102155177,-99.66439035256843,-99.65911564891974
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,prefix-cold-control,request_latency_ms,73,73,2746.149015219178,19.704774,99.28175915862091,99.28245794780997,-99.28878921799823,-99.27883531760041
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,prefix-cold-control,last_token_latency_ms,73,73,2745.7788053150684,19.704774,99.28166229835601,99.28236120251724,-99.28869280381765,-99.27873910113328
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,prefix-reuse-B,output_tokens_per_second,73,73,5.837945452441894,850.659655497986,14480.620092886682,14471.216233994997,14407.686853851212,14562.386426327623
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,prefix-reuse-B,ttft_ms,73,73,349.0343407945206,10.330610999999976,97.04006696402338,97.04023077600787,-97.04538383540944,-97.03527032006522
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,prefix-reuse-B,average_tpot_ms,73,73,159.53883205296805,0.5403569999999718,99.66102212226542,99.66130064195245,-99.66401553533652,-99.65934940080415
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,prefix-reuse-B,exact_itl_ms,73,73,159.53883205296805,0.5403569999999718,99.66102212226542,99.66130064195245,-99.66401553533652,-99.65934940080415
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,prefix-reuse-B,request_latency_ms,73,73,2742.480885643836,18.435965999999553,99.32732397580581,99.32776319074796,-99.33253783077777,-99.32434898060036
