mode,scenario,metric,unit,observed_trials,predicted_trials,all_observed_mean,matched_observed_mean,predicted_mean,ratio_error_percent,mape_percent,wape_percent,ratio_error_ci95_low,ratio_error_ci95_high
hybrid,heldout-single-768,last_token_latency_ms,ms,40,40,5185.208202075,5185.208202075,4632.093527,-10.667164239492966,10.665425474515379,10.667164239492962,-10.7910956206416,-10.541960865089477
hybrid,heldout-single-768,exact_itl_ms,ms,40,40,155.9138934217742,155.9138934217742,134.85214874193548,-13.50857464822781,13.506779128549878,13.508574648227807,-13.632053407737557,-13.382848200076655
hybrid,heldout-burst-768,ttft_ms,ms,40,40,411.093695025,411.093695025,679.7622178875,65.35457150374475,67.88294933582355,65.35457150374474,59.500568288880395,71.91888496619282
hybrid,heldout-burst-768,average_tpot_ms,ms,40,40,161.9424110794355,161.9424110794355,144.48533508064517,-10.779804921039071,10.759220796500173,10.779804921039075,-11.271712021529323,-10.407920238814842
hybrid,heldout-burst-768,output_tokens_per_second,tokens/s,40,40,11.785644080682724,11.785644080682724,12.244136962447973,3.8902658066582996,3.92985275000013,3.890265806658301,3.282978199868465,4.525392550924678
hybrid,heldout-burst-768,request_latency_ms,ms,40,40,5432.0789049875,5432.0789049875,5158.8076053875,-5.0306945900416515,4.9945057951200935,5.030694590041651,-5.610280981889183,-4.466826981030836
hybrid,heldout-burst-768,last_token_latency_ms,ms,40,40,5431.3084384875,5431.3084384875,5158.8076053875,-5.017222575116453,4.981023624127054,5.0172225751164525,-5.596801350010547,-4.452844390672824
hybrid,heldout-burst-768,exact_itl_ms,ms,40,40,161.9424110794355,161.9424110794355,144.48533508064517,-10.779804921039071,10.759220796500173,10.779804921039075,-11.271712021529323,-10.407920238814842
hybrid,heterogeneous,ttft_ms,ms,40,40,463.67086240000003,463.67086240000003,646.0863001333333,39.34157880638334,40.83270464658015,39.341578806383346,35.64731039970295,43.73579479302637
hybrid,heterogeneous,average_tpot_ms,ms,40,40,162.7488646153226,162.7488646153226,91.53282684946235,-43.758239379542395,43.746581746795066,43.7582393795424,-44.049880530565964,-43.54051711874726
hybrid,heterogeneous,output_tokens_per_second,tokens/s,40,40,17.425446616840897,17.425446616840897,27.186797157063772,56.01779257002788,56.05794678754714,56.017792570027865,55.266247259474476,56.832066113105896
