scope,mode,metric,planned_points,predicted_points,observed_mean_supported,predicted_mean_supported,mape_percent,wape_percent,mean_signed_error_percent,weighting
serving-off,SOL,request_latency_ms,600,600,4210.840360088333,30.16931206527779,99.29197211008788,99.28353227656807,-99.29197211008788,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
serving-off,SOL,last_token_latency_ms,600,600,4210.318785251667,30.16931206527779,99.29187776587383,99.28344352045366,-99.29187776587383,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
serving-off,SOL,native_forward_interval_ms,15756,15756,157.00117988034413,1.0817961156901712,99.35414722552346,99.3109630663192,-99.35414722552346,MAPE: equal supported correlated native intervals; WAPE: observed interval latency weighted
serving-on,SOL,ttft_ms,1500,1400,367.9818587732143,12.022185119285718,96.74502543146151,96.7329408141571,-96.74502543146151,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
serving-on,SOL,average_tpot_ms,1500,1400,160.24950917707076,0.6515932031676547,99.59445645604748,99.59338833141281,-99.59445645604748,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
serving-on,SOL,exact_itl_ms,1500,1400,160.24950917707076,0.6515932031676547,99.59445645604748,99.59338833141281,-99.59445645604748,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
serving-on,SOL,output_tokens_per_second,1500,1400,7.972055042858721,1143.405902509789,14774.039400400365,14242.67445925426,14774.039400400365,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
serving-on,SOL,request_latency_ms,1500,1400,4161.185208639643,28.165021252857155,99.32590715785808,99.3231490587254,-99.32590715785808,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
serving-on,SOL,last_token_latency_ms,1500,1400,4160.7074357242855,28.165021252857155,99.32582217201191,99.32307133611393,-99.32582217201191,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
serving-on,SOL,native_forward_interval_ms,39393,39293,158.5976757886128,1.0276802530370843,99.3843726668317,99.35202060942757,-99.3843726668317,MAPE: equal supported correlated native intervals; WAPE: observed interval latency weighted
